name,description,dimensions,year,image,video_key,display_option,collection
Pont - Berlin ,,,2007,P3vZ1R2VSPttsLponWmeMz7Q,,image,Photo
Ressort ,,,2006,SMkibFB2V8vrfrAZWHgUPCxX,,image,Photo
Salpetre – Venise,,,2006,VJMXwS94FeosxMh5d6AtzzcE,,image,Photo
Arbre - Ile de Paques ,,,2005,1Kuz62mYVnsRfUPFLddoaFQi,,image,Photo
Atacama - Chili ,,,2005,6qfefhqQqmDYGaUmpWggjgag,,image,Photo
Ciel cotonneux - Perou ,,,2005,597Jw32KnAEQEuYDD2tJi9os,,image,Photo
Enseigne - Lima ,,,2005,3nJafRKXbhF9aRYWmJXP3pvM,,image,Photo
Escalier - Santiago - Chili ,,,2005,xemuY6yptAVgWji2ju8TrENx,,image,Photo
Mer - Ile de Paques ,,,2005,MhK1cxU3vyzixKWtCscF9pZk,,image,Photo
Palmier - Ile de Paques ,,,2005,XDcis8PbuUm1AVp4wHYBETKU,,image,Photo
Peinture - Valparaiso ,,,2005,nsZvB9hse3GNYx8pTXmyWihx,,image,Photo
Plantes 1 - Patagonie - Argentine ,,,2005,4uNAMptQftyXYCXJRKZy6dtK,,image,Photo
Plantes 2 - Patagonie - Argentine ,,,2005,QZyAmbTXUqZ34WsE4HTEwMJN,,image,Photo
Rides - Chili ,,,2005,R4iQNkF7mg6YEy4Mq29hT8PV,,image,Photo
Roches - Chili ,,,2005,wpQUhE4JNcSBsKY4CNwzMsYc,,image,Photo
Vagues - Chili ,,,2005,YWKwA52SvtKGCvuh1WuZyj3L,,image,Photo
15x20K 4C Jaune ,Animation codée en Processing par Alain Longuet ,,,fnpcDe5kjoJ3fMb1sMNZEva8,1,animation ,Animation 
15x20K N&B,Animation codée en Processing par Alain Longuet ,,,SAmyEwBymx8iNjsgdYZvf9AA,2,animation ,Animation 
5x5K 4C Jaune ,Animation codée en Processing par Alain Longuet ,,,8RznK4KKehWojY6YHneQVv2Z,3,animation ,Animation 
5x5K 4C Violet ,Animation codée en Processing par Alain Longuet ,,,5Rw7yTRs51pWGRzso1UyqMbg,4,animation ,Animation 
5x5K N&B,Animation codée en Processing par Alain Longuet ,,,a933XLDfC5hADT7h7Szheena,5,animation ,Animation 
Algorithme 15x20 4c+viol. ,,46 X 73 X 7 cm ,,7bEiTFtGUr8MATs88mcatBAP,,image,Animation 
V 5x5K 4C Fond noir ,Animation codée en Processing par Alain Longuet ,,,vfRns3S7QB79CvLpyKNFiJmC,6,animation ,Animation 
Vague ,Animation codée en Processing par Alain Longuet ,,,PCWefkmf1ruVonBuaffr2jr6,7,animation ,Animation 
Algorithme 15x20  N&B,,15 x 20 m ,2018,JirMJbCKiyMu9D9ApQCNe4VR,NuoLmibghNg,animation ,Animation 
Color in motion ,"Film 16mm en couleur, réalisé à l'ordinateur au Conseil National de la Recherche du Canada ",,1975,opWYwkuWU9sexu7QzFAwhYwu,453207192,video,Animation 
9 lignes - 1ere sequence ,,,1971,8ksUxBwcX4xM2tYvu8RmEKpW,453209807,video,Animation 
9 lignes - 2eme sequence ,,,1971,zjXvHWVwMh5sFVvNTbDitTdd,453210858,video,Animation 
Lignes du lavoir ,,,2008,gWnDxYs6LNRsg66cJUQGwNaP.png,445507543,video,Video 
Ondulations,,,2008,r8XzQj7yV1b9sG9WyK6p17oM.png,445514327,video,Video 
